cell_id,group,dataset,method,seed,variant,status,run_id,n_attempts,attempt_run_ids
C/core50_nc/dynamic/R11/2/default,C,core50_nc,R11,2,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/O11_half_life/2/default,C,core50_nc,O11_half_life,2,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/S0/2/default,C,core50_nc,S0,2,default,scenario_not_realized:dynamic_reservation,,0,
C/core50_nc/dynamic/S_star_dynamic/2/default,C,core50_nc,S_star_dynamic,2,default,scenario_not_realized:dynamic_reservation,,0,
H/core50_nc/host/S0/0/default,H,core50_nc,S0,0,default,scenario_not_realized:host,,0,
H/core50_nc/host/S_star_host/0/default,H,core50_nc,S_star_host,0,default,scenario_not_realized:host,,0,
H/core50_nc/host/orion_host/0/default,H,core50_nc,orion_host,0,default,scenario_not_realized:host,,0,
H/core50_nc/host/S_star_host/1/default,H,core50_nc,S_star_host,1,default,scenario_not_realized:host,,0,
H/core50_nc/host/orion_host/1/default,H,core50_nc,orion_host,1,default,scenario_not_realized:host,,0,
H/core50_nc/host/S0/1/default,H,core50_nc,S0,1,default,scenario_not_realized:host,,0,
H/core50_nc/host/orion_host/2/default,H,core50_nc,orion_host,2,default,scenario_not_realized:host,,0,
H/core50_nc/host/S0/2/default,H,core50_nc,S0,2,default,scenario_not_realized:host,,0,
H/core50_nc/host/S_star_host/2/default,H,core50_nc,S_star_host,2,default,scenario_not_realized:host,,0,
